prompt_no,connector,sentiment,archive_file,archive_offset,global_offset,n,dimensions,source_embedding_file,source_text_file
85,2,neg,justification_embeddings_float32_part01.npz,15500,15500,298,1536,neg_embed_85_2_2_fin.pkl,neg_lst_85_1.pkl
85,2,pos,justification_embeddings_float32_part01.npz,15798,15798,202,1536,pos_embed_85_2_2_fin.pkl,pos_lst_85_1.pkl
85,3,neg,justification_embeddings_float32_part01.npz,16000,16000,298,1536,neg_embed_85_3_2_fin.pkl,neg_lst_85_1.pkl
85,3,pos,justification_embeddings_float32_part01.npz,16298,16298,202,1536,pos_embed_85_3_2_fin.pkl,pos_lst_85_1.pkl
85,4,neg,justification_embeddings_float32_part02.npz,0,16500,298,1536,neg_embed_85_4_2_fin.pkl,neg_lst_85_1.pkl
85,4,pos,justification_embeddings_float32_part02.npz,298,16798,202,1536,pos_embed_85_4_2_fin.pkl,pos_lst_85_1.pkl
85,5,neg,justification_embeddings_float32_part02.npz,500,17000,298,1536,neg_embed_85_5_2_fin.pkl,neg_lst_85_1.pkl
85,5,pos,justification_embeddings_float32_part02.npz,798,17298,202,1536,pos_embed_85_5_2_fin.pkl,pos_lst_85_1.pkl
85,6,neg,justification_embeddings_float32_part02.npz,1000,17500,298,1536,neg_embed_85_6_2_fin.pkl,neg_lst_85_1.pkl
85,6,pos,justification_embeddings_float32_part02.npz,1298,17798,202,1536,pos_embed_85_6_2_fin.pkl,pos_lst_85_1.pkl
102,1,neg,justification_embeddings_float32_part02.npz,1500,18000,201,1536,neg_embed_102_1_2_fin.pkl,neg_lst_102_1.pkl
102,1,pos,justification_embeddings_float32_part02.npz,1701,18201,299,1536,pos_embed_102_1_2_fin.pkl,pos_lst_102_1.pkl
102,2,neg,justification_embeddings_float32_part02.npz,2000,18500,201,1536,neg_embed_102_2_2_fin.pkl,neg_lst_102_1.pkl
102,2,pos,justification_embeddings_float32_part02.npz,2201,18701,299,1536,pos_embed_102_2_2_fin.pkl,pos_lst_102_1.pkl
102,3,neg,justification_embeddings_float32_part02.npz,2500,19000,201,1536,neg_embed_102_3_2_fin.pkl,neg_lst_102_1.pkl
102,3,pos,justification_embeddings_float32_part02.npz,2701,19201,299,1536,pos_embed_102_3_2_fin.pkl,pos_lst_102_1.pkl
102,4,neg,justification_embeddings_float32_part02.npz,3000,19500,201,1536,neg_embed_102_4_2_fin.pkl,neg_lst_102_1.pkl
102,4,pos,justification_embeddings_float32_part02.npz,3201,19701,299,1536,pos_embed_102_4_2_fin.pkl,pos_lst_102_1.pkl
102,5,neg,justification_embeddings_float32_part02.npz,3500,20000,201,1536,neg_embed_102_5_2_fin.pkl,neg_lst_102_1.pkl
102,5,pos,justification_embeddings_float32_part02.npz,3701,20201,299,1536,pos_embed_102_5_2_fin.pkl,pos_lst_102_1.pkl
102,6,neg,justification_embeddings_float32_part02.npz,4000,20500,201,1536,neg_embed_102_6_2_fin.pkl,neg_lst_102_1.pkl
102,6,pos,justification_embeddings_float32_part02.npz,4201,20701,299,1536,pos_embed_102_6_2_fin.pkl,pos_lst_102_1.pkl
103,1,neg,justification_embeddings_float32_part02.npz,4500,21000,311,1536,neg_embed_103_1_2_fin.pkl,neg_lst_103_1.pkl
103,1,pos,justification_embeddings_float32_part02.npz,4811,21311,189,1536,pos_embed_103_1_2_fin.pkl,pos_lst_103_1.pkl
103,2,neg,justification_embeddings_float32_part02.npz,5000,21500,311,1536,neg_embed_103_2_2_fin.pkl,neg_lst_103_1.pkl
103,2,pos,justification_embeddings_float32_part02.npz,5311,21811,189,1536,pos_embed_103_2_2_fin.pkl,pos_lst_103_1.pkl
103,3,neg,justification_embeddings_float32_part02.npz,5500,22000,311,1536,neg_embed_103_3_2_fin.pkl,neg_lst_103_1.pkl
103,3,pos,justification_embeddings_float32_part02.npz,5811,22311,189,1536,pos_embed_103_3_2_fin.pkl,pos_lst_103_1.pkl
103,4,neg,justification_embeddings_float32_part02.npz,6000,22500,311,1536,neg_embed_103_4_2_fin.pkl,neg_lst_103_1.pkl
103,4,pos,justification_embeddings_float32_part02.npz,6311,22811,189,1536,pos_embed_103_4_2_fin.pkl,pos_lst_103_1.pkl
103,5,neg,justification_embeddings_float32_part02.npz,6500,23000,311,1536,neg_embed_103_5_2_fin.pkl,neg_lst_103_1.pkl
103,5,pos,justification_embeddings_float32_part02.npz,6811,23311,189,1536,pos_embed_103_5_2_fin.pkl,pos_lst_103_1.pkl
103,6,neg,justification_embeddings_float32_part02.npz,7000,23500,311,1536,neg_embed_103_6_2_fin.pkl,neg_lst_103_1.pkl
103,6,pos,justification_embeddings_float32_part02.npz,7311,23811,189,1536,pos_embed_103_6_2_fin.pkl,pos_lst_103_1.pkl
132,1,neg,justification_embeddings_float32_part02.npz,7500,24000,140,1536,neg_embed_132_1_2_fin.pkl,neg_lst_132_1.pkl
132,1,pos,justification_embeddings_float32_part02.npz,7640,24140,360,1536,pos_embed_132_1_2_fin.pkl,pos_lst_132_1.pkl
132,2,neg,justification_embeddings_float32_part02.npz,8000,24500,140,1536,neg_embed_132_2_2_fin.pkl,neg_lst_132_1.pkl
132,2,pos,justification_embeddings_float32_part02.npz,8140,24640,360,1536,pos_embed_132_2_2_fin.pkl,pos_lst_132_1.pkl
132,3,neg,justification_embeddings_float32_part02.npz,8500,25000,140,1536,neg_embed_132_3_2_fin.pkl,neg_lst_132_1.pkl
132,3,pos,justification_embeddings_float32_part02.npz,8640,25140,360,1536,pos_embed_132_3_2_fin.pkl,pos_lst_132_1.pkl
132,4,neg,justification_embeddings_float32_part02.npz,9000,25500,140,1536,neg_embed_132_4_2_fin.pkl,neg_lst_132_1.pkl
132,4,pos,justification_embeddings_float32_part02.npz,9140,25640,360,1536,pos_embed_132_4_2_fin.pkl,pos_lst_132_1.pkl
132,5,neg,justification_embeddings_float32_part02.npz,9500,26000,140,1536,neg_embed_132_5_2_fin.pkl,neg_lst_132_1.pkl
132,5,pos,justification_embeddings_float32_part02.npz,9640,26140,360,1536,pos_embed_132_5_2_fin.pkl,pos_lst_132_1.pkl
132,6,neg,justification_embeddings_float32_part02.npz,10000,26500,140,1536,neg_embed_132_6_2_fin.pkl,neg_lst_132_1.pkl
132,6,pos,justification_embeddings_float32_part02.npz,10140,26640,360,1536,pos_embed_132_6_2_fin.pkl,pos_lst_132_1.pkl
133,1,neg,justification_embeddings_float32_part02.npz,10500,27000,251,1536,neg_embed_133_1_2_fin.pkl,neg_lst_133_1.pkl
133,1,pos,justification_embeddings_float32_part02.npz,10751,27251,249,1536,pos_embed_133_1_2_fin.pkl,pos_lst_133_1.pkl
133,2,neg,justification_embeddings_float32_part02.npz,11000,27500,251,1536,neg_embed_133_2_2_fin.pkl,neg_lst_133_1.pkl
133,2,pos,justification_embeddings_float32_part02.npz,11251,27751,249,1536,pos_embed_133_2_2_fin.pkl,pos_lst_133_1.pkl
133,3,neg,justification_embeddings_float32_part02.npz,11500,28000,251,1536,neg_embed_133_3_2_fin.pkl,neg_lst_133_1.pkl
133,3,pos,justification_embeddings_float32_part02.npz,11751,28251,249,1536,pos_embed_133_3_2_fin.pkl,pos_lst_133_1.pkl
133,4,neg,justification_embeddings_float32_part02.npz,12000,28500,251,1536,neg_embed_133_4_2_fin.pkl,neg_lst_133_1.pkl
133,4,pos,justification_embeddings_float32_part02.npz,12251,28751,249,1536,pos_embed_133_4_2_fin.pkl,pos_lst_133_1.pkl
133,5,neg,justification_embeddings_float32_part02.npz,12500,29000,251,1536,neg_embed_133_5_2_fin.pkl,neg_lst_133_1.pkl
133,5,pos,justification_embeddings_float32_part02.npz,12751,29251,249,1536,pos_embed_133_5_2_fin.pkl,pos_lst_133_1.pkl
133,6,neg,justification_embeddings_float32_part02.npz,13000,29500,251,1536,neg_embed_133_6_2_fin.pkl,neg_lst_133_1.pkl
133,6,pos,justification_embeddings_float32_part02.npz,13251,29751,249,1536,pos_embed_133_6_2_fin.pkl,pos_lst_133_1.pkl
168,1,neg,justification_embeddings_float32_part02.npz,13500,30000,146,1536,neg_embed_168_1_2_fin.pkl,neg_lst_168_1.pkl
168,1,pos,justification_embeddings_float32_part02.npz,13646,30146,354,1536,pos_embed_168_1_2_fin.pkl,pos_lst_168_1.pkl
