prompt_no,connector,sentiment,embedding_file,text_file,n,dimensions
102,2,pos,pos_embed_102_2_2_fin.pkl,pos_lst_102_1.pkl,299,1536
102,3,pos,pos_embed_102_3_2_fin.pkl,pos_lst_102_1.pkl,299,1536
102,4,pos,pos_embed_102_4_2_fin.pkl,pos_lst_102_1.pkl,299,1536
102,5,pos,pos_embed_102_5_2_fin.pkl,pos_lst_102_1.pkl,299,1536
102,6,pos,pos_embed_102_6_2_fin.pkl,pos_lst_102_1.pkl,299,1536
103,1,pos,pos_embed_103_1_2_fin.pkl,pos_lst_103_1.pkl,189,1536
103,2,pos,pos_embed_103_2_2_fin.pkl,pos_lst_103_1.pkl,189,1536
103,3,pos,pos_embed_103_3_2_fin.pkl,pos_lst_103_1.pkl,189,1536
103,4,pos,pos_embed_103_4_2_fin.pkl,pos_lst_103_1.pkl,189,1536
103,5,pos,pos_embed_103_5_2_fin.pkl,pos_lst_103_1.pkl,189,1536
103,6,pos,pos_embed_103_6_2_fin.pkl,pos_lst_103_1.pkl,189,1536
132,1,pos,pos_embed_132_1_2_fin.pkl,pos_lst_132_1.pkl,360,1536
132,2,pos,pos_embed_132_2_2_fin.pkl,pos_lst_132_1.pkl,360,1536
132,3,pos,pos_embed_132_3_2_fin.pkl,pos_lst_132_1.pkl,360,1536
132,4,pos,pos_embed_132_4_2_fin.pkl,pos_lst_132_1.pkl,360,1536
132,5,pos,pos_embed_132_5_2_fin.pkl,pos_lst_132_1.pkl,360,1536
132,6,pos,pos_embed_132_6_2_fin.pkl,pos_lst_132_1.pkl,360,1536
133,1,pos,pos_embed_133_1_2_fin.pkl,pos_lst_133_1.pkl,249,1536
133,2,pos,pos_embed_133_2_2_fin.pkl,pos_lst_133_1.pkl,249,1536
133,3,pos,pos_embed_133_3_2_fin.pkl,pos_lst_133_1.pkl,249,1536
133,4,pos,pos_embed_133_4_2_fin.pkl,pos_lst_133_1.pkl,249,1536
133,5,pos,pos_embed_133_5_2_fin.pkl,pos_lst_133_1.pkl,249,1536
133,6,pos,pos_embed_133_6_2_fin.pkl,pos_lst_133_1.pkl,249,1536
168,1,pos,pos_embed_168_1_2_fin.pkl,pos_lst_168_1.pkl,354,1536
168,2,pos,pos_embed_168_2_2_fin.pkl,pos_lst_168_1.pkl,354,1536
168,3,pos,pos_embed_168_3_2_fin.pkl,pos_lst_168_1.pkl,354,1536
168,4,pos,pos_embed_168_4_2_fin.pkl,pos_lst_168_1.pkl,354,1536
168,5,pos,pos_embed_168_5_2_fin.pkl,pos_lst_168_1.pkl,354,1536
168,6,pos,pos_embed_168_6_2_fin.pkl,pos_lst_168_1.pkl,354,1536
169,1,pos,pos_embed_169_1_2_fin.pkl,pos_lst_169_1.pkl,210,1536
169,2,pos,pos_embed_169_2_2_fin.pkl,pos_lst_169_1.pkl,210,1536
169,3,pos,pos_embed_169_3_2_fin.pkl,pos_lst_169_1.pkl,210,1536
169,4,pos,pos_embed_169_4_2_fin.pkl,pos_lst_169_1.pkl,210,1536
169,5,pos,pos_embed_169_5_2_fin.pkl,pos_lst_169_1.pkl,210,1536
169,6,pos,pos_embed_169_6_2_fin.pkl,pos_lst_169_1.pkl,210,1536
182,1,pos,pos_embed_182_1_2_fin.pkl,pos_lst_182_1.pkl,248,1536
182,2,pos,pos_embed_182_2_2_fin.pkl,pos_lst_182_1.pkl,248,1536
182,3,pos,pos_embed_182_3_2_fin.pkl,pos_lst_182_1.pkl,248,1536
182,4,pos,pos_embed_182_4_2_fin.pkl,pos_lst_182_1.pkl,248,1536
182,5,pos,pos_embed_182_5_2_fin.pkl,pos_lst_182_1.pkl,248,1536
182,6,pos,pos_embed_182_6_2_fin.pkl,pos_lst_182_1.pkl,248,1536
183,1,pos,pos_embed_183_1_2_fin.pkl,pos_lst_183_1.pkl,108,1536
183,2,pos,pos_embed_183_2_2_fin.pkl,pos_lst_183_1.pkl,108,1536
183,3,pos,pos_embed_183_3_2_fin.pkl,pos_lst_183_1.pkl,108,1536
183,4,pos,pos_embed_183_4_2_fin.pkl,pos_lst_183_1.pkl,108,1536
183,5,pos,pos_embed_183_5_2_fin.pkl,pos_lst_183_1.pkl,108,1536
183,6,pos,pos_embed_183_6_2_fin.pkl,pos_lst_183_1.pkl,108,1536
216,1,pos,pos_embed_216_1_2_fin.pkl,pos_lst_216_1.pkl,353,1536
216,2,pos,pos_embed_216_2_2_fin.pkl,pos_lst_216_1.pkl,353,1536
216,3,pos,pos_embed_216_3_2_fin.pkl,pos_lst_216_1.pkl,353,1536
